,point_name,image_0,image_1,image_2
0,top_left,"(172, 84)","(101, 85)","(11, 175)"
1,top_right,"(468, 84)","(503, 86)","(199, 89)"
2,bottom_left,"(78, 331)","(15, 401)","(510, 393)"
3,bottom_right,"(562, 331)","(618, 401)","(616, 199)"
4,middle_left,"(136, 176)","(66, 212)","(197, 259)"
5,middle_right,"(503, 176)","(548, 212)","(372, 134)"
6,left_middle_top,"(209, 84)","(150, 85)","(41, 162)"
7,left_middle_bottom,"(138, 332)","(91, 401)","(529, 359)"
8,right_middle_top,"(431, 84)","(452, 86)","(181, 97)"
9,right_middle_bottom,"(502, 331)","(543, 402)","(607, 216)"
10,middle_top,"(320, 122)","(305, 137)","(191, 151)"
11,middle_bottom,"(320, 250)","(313, 303)","(431, 231)"
12,second_middle_left,"(198, 122)","(141, 137)","(115, 193)"
13,second_middle_right,"(442, 122)","(467, 138)","(252, 117)"
14,middle_bottom_left,"(161, 250)","(109, 309)","(369, 296)"
15,middle_bottom_right,"(479, 249)","(515, 303)","(479, 180)"
